"date","site","concentration","abs","soil_g_dry","extractant_ml","mgNH4_L","mgNH4_kg_soil"
"10/21/25","Franklin",NA,0.0452,NA,15,-0.0702294101924719,NA
"10/21/25","Franklin",NA,0.0451,NA,15,-0.0707308311366523,NA
"10/21/25","Franklin",NA,0.0453,NA,15,-0.0697279892482915,NA
"10/21/25","Franklin",NA,0.0454,NA,15,-0.0692265683041111,NA
"10/21/25","Franklin",NA,0.0456,NA,15,-0.0682237264157503,NA
"10/21/25","Franklin",NA,0.0471,NA,15,-0.0607024122530441,NA
"10/21/25","Franklin",NA,0.0474,NA,15,-0.059198149420503,NA
"10/21/25","Franklin",NA,0.0496,NA,15,-0.048166888648534,NA
"10/21/25","Fryman",NA,0.0454,NA,15,-0.0692265683041111,NA
"10/21/25","Fryman",NA,0.0455,NA,15,-0.0687251473599307,NA
"10/21/25","Fryman",NA,0.0453,NA,15,-0.0697279892482915,NA
"10/21/25","Fryman",NA,0.0457,NA,15,-0.0677223054715699,NA
"10/21/25","Fryman",NA,0.0455,NA,15,-0.0687251473599307,NA
"10/21/25","Fryman",NA,0.0473,NA,15,-0.0596995703646833,NA
"10/21/25","Fryman",NA,0.0486,NA,15,-0.0531810980903381,NA
"10/21/25","Fryman",NA,0.0459,NA,15,-0.066719463583209,NA
"10/21/25","westridge",NA,1.7242,1.744,15,8.34862824259655,71.805862178296
"10/21/25","westridge",NA,1.7232,1.744,15,8.34361403315475,71.7627353769044
"10/21/25","westridge",NA,1.9343,1.744,15,9.40211364631959,80.8668031506845
"10/21/25","westridge",NA,1.8173,1.744,15,8.81545114162851,75.8209673878599
"10/21/25","westridge",NA,1.9762,1.744,15,9.61220902193118,82.6738161289952
"10/21/25","westridge",NA,2.0484,1.744,15,9.97423494362943,85.7875711894733
"10/21/25","westridge",NA,1.8524,1.744,15,8.99144989303584,77.3347181167073
"10/21/25","westridge",NA,1.8066,1.744,15,8.76179910060121,75.3595106129691
"10/21/25","Elyria",NA,0.7246,1.7692,15,3.33642448456921,28.2875691095061
"10/21/25","Elyria",NA,0.4648,1.7692,15,2.03373287158851,17.2428176994278
"10/21/25","Elyria",NA,0.4663,1.7692,15,2.04125418575122,17.3065864720033
"10/21/25","Elyria",NA,0.4863,1.7692,15,2.1415383745873,18.1568367730101
"10/21/25","Elyria",NA,1.2581,1.7692,15,6.01150522177168,50.9679958888623
"10/21/25","Elyria",NA,0.8528,1.7692,15,3.97924613500849,33.7376735389596
"10/21/25","Elyria",NA,0.4579,1.7692,15,1.99913482644007,16.9494813455805
"10/21/25","Elyria",NA,0.5075,1.7692,15,2.24783961475355,19.0581020920773
"10/21/25","Ballona",NA,0.8151,1.6054,15,3.79021043905248,35.4137016231389
"10/21/25","Ballona",NA,1.144,1.6054,15,5.43938392446184,50.8226976871356
"10/21/25","Ballona",NA,1.2386,1.6054,15,5.9137281376565,55.2547166219307
"10/21/25","Ballona",NA,1.2489,1.6054,15,5.96537449490708,55.7372725947466
"10/21/25","Ballona",NA,1.6994,1.6054,15,8.22427584843981,76.8432401436385
"10/21/25","Ballona",NA,1.24,1.6054,15,5.92074803087503,55.3203067541581
"10/21/25","Ballona",NA,1.4229,1.6054,15,6.83784693778099,63.8891890287248
"10/21/25","Ballona",NA,0.5648,1.6054,15,2.53515381576892,23.6871229827668
"10/21/25","BigRock",NA,1.719,1.725,15,8.32255435349918,72.3700378565146
"10/21/25","BigRock",NA,1.367,1.725,15,6.55755262998414,57.0221967824708
"10/21/25","BigRock",NA,1.653,1.725,15,7.99161653034011,69.4923176551313
"10/21/25","BigRock",NA,1.8505,1.725,15,8.98192289509641,78.1036773486644
"10/21/25","BigRock",NA,1.6074,1.725,15,7.76296857979384,67.504074606903
"10/21/25","BigRock",NA,2.03,1.725,15,9.88197348990024,85.9302042600021
"10/21/25","BigRock",NA,1.7218,1.725,15,8.33659413993623,72.4921229559672
"10/21/25","BigRock",NA,1.6544,1.725,15,7.99863642355863,69.5533602048577
"10/21/25","Arroyo",NA,0.8758,1.6129,15,4.09457295216999,38.0796046143901
"10/21/25","Arroyo",NA,0.8737,1.6129,15,4.0840431123422,37.9816769081363
"10/21/25","Arroyo",NA,0.6586,1.6129,15,3.00548666141014,27.951081853278
"10/21/25","Arroyo",NA,1.3505,1.6129,15,6.47481817419438,60.2159294518666
"10/21/25","Arroyo",NA,0.9068,1.6129,15,4.25001344486591,39.5252040876612
"10/21/25","Arroyo",NA,1.2222,1.6129,15,5.83149510281091,54.2330129221673
"10/21/25","Arroyo",NA,1.126,1.6129,15,5.34912815450936,49.7469913309197
"10/21/25","Arroyo",NA,1.2131,1.6129,15,5.7858657968905,53.8086595284007
"10/21/25","Hills",NA,0.5552,1.6307,15,2.4870174051276,22.8768388280579
"10/21/25","Hills",NA,1.2562,1.6307,15,6.00197822383225,55.2092189596393
"10/21/25","Hills",NA,0.7164,1.6307,15,3.29530796714642,30.311902561597
"10/21/25","Hills",NA,1.2237,1.6307,15,5.83901641697362,53.7102141746516
"10/21/25","Hills",NA,0.6226,1.6307,15,2.8249751215052,25.9855441360017
"10/21/25","Hills",NA,0.8404,1.6307,15,3.91706993793012,36.0311823566271
"10/21/25","Hills",NA,0.6784,1.6307,15,3.10476800835786,28.5592200437652
"10/21/25","Hills",NA,0.6072,1.6307,15,2.74775629610141,25.2752464840383
"10/21/25","Harmon",NA,1.0116,1.7068,15,4.77550259436698,41.9689119495575
"10/21/25","Harmon",NA,1.2957,1.7068,15,6.20003949678351,54.4882777430002
"10/21/25","Harmon",NA,1.1833,1.7068,15,5.63644235552474,49.5351742048694
"10/21/25","Harmon",NA,1.3453,1.7068,15,6.448744285097,56.6739889128515
"10/21/25","Harmon",NA,1.5388,1.7068,15,7.41899381208608,65.200906480719
"10/21/25","Harmon",NA,1.9151,1.7068,15,9.30584082503695,81.7832273116676
"10/21/25","Harmon",NA,1.1693,1.7068,15,5.56624342333948,48.9182396004759
"10/21/25","Harmon",NA,1.239,1.7068,15,5.91573382143322,51.9896925952064
"10/21/25","Willoughby",NA,0.4546,1.6791,15,1.98258793528211,17.7111661182965
"10/21/25","Willoughby",NA,0.4786,1.6791,15,2.10292896188541,18.7862154894176
"10/21/25","Willoughby",NA,0.5985,1.6791,15,2.70413267395772,24.1569829726435
"10/21/25","Willoughby",NA,0.4891,1.6791,15,2.15557816102435,19.2565495892831
"10/21/25","Willoughby",NA,0.6631,1.6791,15,3.02805060389826,27.0506575299112
"10/21/25","Willoughby",NA,0.5517,1.6791,15,2.46946767208129,22.0606366989574
"10/21/25","Willoughby",NA,0.3481,1.6791,15,1.44857462972998,12.9406345339466
"10/21/25","Willoughby",NA,1.0432,1.6791,15,4.93395161272799,44.0767519450419
"10/16/25","Franklin",NA,1.7304,NA,15,8.37971634113574,NA
"10/16/25","Franklin",NA,1.937,NA,15,9.41565201181246,NA
"10/16/25","Franklin",NA,1.9548,NA,15,9.50490493987657,NA
"10/16/25","Franklin",NA,1.9279,NA,15,9.37002270589204,NA
"10/16/25","Franklin",NA,1.9834,NA,15,9.64831132991217,NA
"10/16/25","Franklin",NA,1.8594,NA,15,9.02654935912846,NA
"10/16/25","Franklin",NA,2.0086,NA,15,9.77466940784563,NA
"10/16/25","Franklin",NA,1.9469,NA,15,9.46529268528632,NA
"10/16/25","Fryman",NA,1.9124,NA,15,9.29230245954408,NA
"10/16/25","Fryman",NA,1.8647,NA,15,9.05312466917003,NA
"10/16/25","Fryman",NA,2.0325,NA,15,9.89450901350475,NA
"10/16/25","Fryman",NA,1.9471,NA,15,9.46629552717468,NA
"10/16/25","Fryman",NA,1.8996,NA,15,9.22812057868899,NA
"10/16/25","Fryman",NA,2.0137,NA,15,9.80024187599883,NA
"10/16/25","Fryman",NA,1.9342,NA,15,9.40161222537541,NA
"10/16/25","Fryman",NA,1.9588,NA,15,9.52496177764379,NA
"10/16/25","westridge",NA,2.0479,NA,15,9.97172783890853,NA
"10/16/25","westridge",NA,2.0153,NA,15,9.80826461110572,NA
"10/16/25","westridge",NA,1.9021,NA,15,9.2406561022935,NA
"10/16/25","westridge",NA,1.9918,NA,15,9.69043068922332,NA
"10/16/25","westridge",NA,2.0442,NA,15,9.95317526397386,NA
"10/16/25","westridge",NA,1.9069,NA,15,9.26472430761416,NA
"10/16/25","westridge",NA,1.9897,NA,15,9.67990084939554,NA
"10/16/25","westridge",NA,1.9215,NA,15,9.3379317654645,NA
"10/16/25","Elyria",NA,1.9785,NA,15,9.62374170364733,NA
"10/16/25","Elyria",NA,1.9378,NA,15,9.4196633793659,NA
"10/16/25","Elyria",NA,1.9867,NA,15,9.66485822107012,NA
"10/16/25","Elyria",NA,2.0789,NA,15,10.1271683316045,NA
"10/16/25","Elyria",NA,1.8705,NA,15,9.08220708393249,NA
"10/16/25","Elyria",NA,1.9483,NA,15,9.47231257850485,NA
"10/16/25","Elyria",NA,2.0236,NA,15,9.84988254947269,NA
"10/16/25","Elyria",NA,2.0051,NA,15,9.75711967479932,NA
"10/16/25","Ballona",NA,1.8932,NA,15,9.19602963826144,NA
"10/16/25","Ballona",NA,2.0614,NA,15,10.0394196663729,NA
"10/16/25","Ballona",NA,1.9583,NA,15,9.52245467292289,NA
"10/16/25","Ballona",NA,1.9254,NA,15,9.35748718228753,NA
"10/16/25","Ballona",NA,1.9848,NA,15,9.6553312231307,NA
"10/16/25","Ballona",NA,1.9625,NA,15,9.54351435257846,NA
"10/16/25","Ballona",NA,1.8771,NA,15,9.1153008662484,NA
"10/16/25","Ballona",NA,1.9499,NA,15,9.48033531361173,NA
"10/16/25","BigRock",NA,1.6715,1.6275,15,8.08437940501348,74.510409262797
"10/16/25","BigRock",NA,1.7332,1.6275,15,8.39375612757279,77.361807627399
"10/16/25","BigRock",NA,1.4126,1.6275,15,6.78620058053041,62.5456274703264
"10/16/25","BigRock",NA,1.6283,1.6275,15,7.86776555712755,72.5139682684567
"10/16/25","BigRock",NA,1.6894,1.6275,15,8.17413375402177,75.337638285915
"10/16/25","BigRock",NA,1.9745,1.6275,15,9.60368486588011,88.5132245703236
"10/16/25","BigRock",NA,1.8617,1.6275,15,9.03808204084461,83.3002953073236
"10/16/25","BigRock",NA,1.7931,1.6275,15,8.69410727313685,80.1300209505701
"10/16/25","Arroyo",NA,0.8561,1.6851,15,3.99579302616644,35.5687468948411
"10/16/25","Arroyo",NA,0.6143,1.6851,15,2.78335718313822,24.7761899869879
"10/16/25","Arroyo",NA,0.8894,1.6851,15,4.16276620057852,37.0550667667663
"10/16/25","Arroyo",NA,0.5638,1.6851,15,2.53013960632712,22.5221613523867
"10/16/25","Arroyo",NA,0.8479,1.6851,15,3.95467650874365,35.2027462056583
"10/16/25","Arroyo",NA,1.2361,1.6851,15,5.90119261405199,52.5297544423357
"10/16/25","Arroyo",NA,0.6517,1.6851,15,2.97088861626169,26.4455102035045
"10/16/25","Arroyo",NA,0.7095,1.6851,15,3.26070992199797,29.0253687199392
"10/16/25","Hills",NA,1.3216,1.8274,15,6.32990752132624,51.9583084272155
"10/16/25","Hills",NA,1.1942,1.8274,15,5.6910972384404,46.7147086443067
"10/16/25","Hills",NA,1.2196,1.8274,15,5.81845815826222,47.7601359165664
"10/16/25","Hills",NA,0.9357,1.8274,15,4.39492409773405,36.0752224285929
"10/16/25","Hills",NA,1.2178,1.8274,15,5.80943258126698,47.6860505193196
"10/16/25","Hills",NA,0.8235,1.8274,15,3.83232979836363,31.4572326668789
"10/16/25","Hills",NA,1.1038,1.8274,15,5.23781270490131,42.9939753603588
"10/16/25","Hills",NA,0.6842,1.8274,15,3.13385042312033,25.723846091061
"10/16/25","Harmon",NA,0.5938,1.7333,15,2.68056588958124,23.1976509223554
"10/16/25","Harmon",NA,1.1959,1.7333,15,5.69962139449147,49.3245952330075
"10/16/25","Harmon",NA,1.0253,1.7333,15,4.84419726371969,41.9217440464982
"10/16/25","Harmon",NA,1.2769,1.7333,15,6.1057723592776,52.8394307904944
"10/16/25","Harmon",NA,1.1614,1.7333,15,5.52663116874923,47.8275356437076
"10/16/25","Harmon",NA,1.3327,1.7333,15,6.38556524613026,55.2607619523187
"10/16/25","Harmon",NA,1.5245,1.7333,15,7.34729061706828,63.5835454081949
"10/16/25","Harmon",NA,1.8947,1.7333,15,9.20355095242415,79.647645696857
"10/16/25","Willoughby",NA,1.1875,1.7372,15,5.65750203518031,48.8501787518447
"10/16/25","Willoughby",NA,1.2479,1.7372,15,5.96036028546528,51.4652338717356
"10/16/25","Willoughby",NA,0.4628,1.7372,15,2.02370445270491,17.4738468746106
"10/16/25","Willoughby",NA,0.4939,1.7372,15,2.17964636634501,18.820340487667
"10/16/25","Willoughby",NA,0.6061,1.7372,15,2.74224066571543,23.6781084421664
"10/16/25","Willoughby",NA,0.4823,1.7372,15,2.12148153682009,18.3181113586814
"10/16/25","Willoughby",NA,0.6574,1.7372,15,2.99946961007998,25.8991734694909
"10/16/25","Willoughby",NA,0.5475,1.7372,15,2.44840799242571,21.1409854284974
