"date","site","concentration","abs","soil_g_dry","extractant_ml","mgNO3_L","mgNO3_kg_soil"
"10/21/25","Franklin",NA,0.0512,1.6946,15,-0.249421765156019,-2.20779327117921
"10/21/25","Franklin",NA,0.0461,1.6946,15,-0.257863957064543,-2.28252056884701
"10/21/25","Franklin",NA,0.0485,1.6946,15,-0.253891160872297,-2.24735478170922
"10/21/25","Franklin",NA,0.0463,1.6946,15,-0.257532890715189,-2.27959008658553
"10/21/25","Franklin",NA,0.0522,1.6946,15,-0.24776643340925,-2.1931408598718
"10/21/25","Franklin",NA,0.0461,1.6946,15,-0.257863957064543,-2.28252056884701
"10/21/25","Franklin",NA,0.0461,1.6946,15,-0.257863957064543,-2.28252056884701
"10/21/25","Franklin",NA,0.056,1.6946,15,-0.241476172771526,-2.13746169690363
"10/21/25","Fryman",NA,0.1042,1.7256,15,-0.161689182577237,-1.40550402101215
"10/21/25","Fryman",NA,0.0505,1.7256,15,-0.250580497378758,-2.17820321087237
"10/21/25","Fryman",NA,0.0709,1.7256,15,-0.216811729744661,-1.8846638538305
"10/21/25","Fryman",NA,0.0554,1.7256,15,-0.242469371819587,-2.10769620844565
"10/21/25","Fryman",NA,0.0568,1.7256,15,-0.24015190737411,-2.08755135060944
"10/21/25","Fryman",NA,0.0529,1.7256,15,-0.246607701186511,-2.14366916886745
"10/21/25","Fryman",NA,0.0597,1.7256,15,-0.235351445308479,-2.04582271652016
"10/21/25","Fryman",NA,0.0656,1.7256,15,-0.225584988002539,-1.96092652992471
"10/21/25","westridge",NA,2.8089,1.744,15,4.31548659291014,37.117143861039
"10/21/25","westridge",NA,2.318,1.744,15,3.50288423842101,30.1280181056853
"10/21/25","westridge",NA,2.7225,1.744,15,4.17246592998925,35.8870349483021
"10/21/25","westridge",NA,2.4522,1.744,15,3.72502975883747,32.0386733844966
"10/21/25","westridge",NA,2.8961,1.744,15,4.45983152122843,38.3586426711161
"10/21/25","westridge",NA,1.9731,1.744,15,2.93196031896022,25.2175486149101
"10/21/25","westridge",NA,2.4546,1.744,15,3.72900255502971,32.072843076517
"10/21/25","westridge",NA,2.8971,1.744,15,4.4614868529752,38.3728800427913
"10/21/25","Elyria",NA,3.7094,1.7692,15,5.80611283087604,49.2265953329983
"10/21/25","Elyria",NA,3.2179,1.7692,15,4.99251727733885,42.3286000226558
"10/21/25","Elyria",NA,3.4166,1.7692,15,5.32143169542194,45.1172707615471
"10/21/25","Elyria",NA,3.59,1.7692,15,5.60846622031177,47.5508666655418
"10/21/25","Elyria",NA,3.1333,1.7692,15,4.85247621156215,41.1412746854128
"10/21/25","Elyria",NA,2.3381,1.7692,15,3.53615640653107,29.980977898466
"10/21/25","Elyria",NA,1.8807,1.7692,15,2.77900766555872,23.5615617134189
"10/21/25","Elyria",NA,1.3008,1.7692,15,1.81908078560711,15.4229096677066
"10/21/25","Ballona",NA,1.9854,1.6054,15,2.95232089944548,27.5849093632006
"10/21/25","Ballona",NA,1.7574,1.6054,15,2.57490526118204,24.0585392536008
"10/21/25","Ballona",NA,1.7002,1.6054,15,2.48022028526683,23.1738534190871
"10/21/25","Ballona",NA,1.1772,1.6054,15,1.6144817817064,15.0848553168033
"10/21/25","Ballona",NA,1.538,1.6054,15,2.21172547594082,20.6651813498893
"10/21/25","Ballona",NA,1.2022,1.6054,15,1.65586507537564,15.4715187060138
"10/21/25","Ballona",NA,2.1406,1.6054,15,3.2092283865441,29.9853156834194
"10/21/25","Ballona",NA,0.9302,1.6054,15,1.20561484025434,11.2646210314035
"10/21/25","BigRock",NA,2.6223,1.725,15,4.00660168896295,34.8400146866344
"10/21/25","BigRock",NA,2.4977,1.725,15,3.80034735331548,33.0464987244824
"10/21/25","BigRock",NA,2.1252,1.725,15,3.18373627764385,27.6846632838596
"10/21/25","BigRock",NA,2.1899,1.725,15,3.29083624165984,28.6159673187812
"10/21/25","BigRock",NA,1.3937,1.725,15,1.97286110488199,17.1553139554956
"10/21/25","BigRock",NA,2.5139,1.725,15,3.82716372761314,33.2796845879404
"10/21/25","BigRock",NA,2.9721,1.725,15,4.58563673398291,39.875102034634
"10/21/25","BigRock",NA,3.2864,1.725,15,5.10590750199256,44.3991956695005
"10/21/25","Arroyo",NA,1.0019,1.6129,15,1.32430212649771,12.3160344084975
"10/21/25","Arroyo",NA,1.0061,1.6129,15,1.33125451983414,12.3806917958411
"10/21/25","Arroyo",NA,0.4831,1.6129,15,0.465516016273713,4.32930760996075
"10/21/25","Arroyo",NA,0.6859,1.6129,15,0.801217294518561,7.4513357416941
"10/21/25","Arroyo",NA,0.4659,1.6129,15,0.437044310229278,4.06452021417272
"10/21/25","Arroyo",NA,0.3481,1.6129,15,0.242046230459835,2.25103444534536
"10/21/25","Arroyo",NA,0.4516,1.6129,15,0.413373066250475,3.84437720488383
"10/21/25","Arroyo",NA,0.4008,1.6129,15,0.329282213514586,3.06233071034707
"10/21/25","Hills",NA,3.7477,1.6307,15,5.86951203677731,53.9907282465565
"10/21/25","Hills",NA,3.5636,1.6307,15,5.56476546219705,51.1875157496509
"10/21/25","Hills",NA,3.4582,1.6307,15,5.39029349608755,49.5826347220907
"10/21/25","Hills",NA,3.4993,1.6307,15,5.45832763087977,50.2084469633879
"10/21/25","Hills",NA,2.8784,1.6307,15,4.43053214931061,40.7542664129878
"10/21/25","Hills",NA,1.9601,1.6307,15,2.91044100625221,26.771702393931
"10/21/25","Hills",NA,1.7854,1.6307,15,2.62125455009159,24.1116197040374
"10/21/25","Hills",NA,1.5537,1.6307,15,2.2377141843651,20.5836222269434
"10/21/25","Harmon",NA,2.3084,1.7068,15,3.48699305365202,30.6450057445396
"10/21/25","Harmon",NA,2.5408,1.7068,15,3.87169215160124,34.0258860288368
"10/21/25","Harmon",NA,2.6285,1.7068,15,4.01686474579292,35.301717358152
"10/21/25","Harmon",NA,3.227,1.7068,15,5.00758079623445,44.0085024276522
"10/21/25","Harmon",NA,2.8423,1.7068,15,4.37077467325224,38.4120108382842
"10/21/25","Harmon",NA,2.6823,1.7068,15,4.10592159376912,36.0843824153602
"10/21/25","Harmon",NA,2.7091,1.7068,15,4.15028448458254,36.4742601762
"10/21/25","Harmon",NA,2.6846,1.7068,15,4.10972885678669,36.1178420739398
"10/21/25","Willoughby",NA,0.4478,1.6791,15,0.407082805612751,3.63661609445016
"10/21/25","Willoughby",NA,0.5247,1.6791,15,0.534377816939323,4.773787894759
"10/21/25","Willoughby",NA,0.832,1.6791,15,1.04306126272158,9.3180387950829
"10/21/25","Willoughby",NA,0.444,1.6791,15,0.400792544975027,3.58042294957144
"10/21/25","Willoughby",NA,0.5139,1.6791,15,0.516500234074213,4.6140810619458
"10/21/25","Willoughby",NA,0.4446,1.6791,15,0.401785744023089,3.5892955513944
"10/21/25","Willoughby",NA,0.4805,1.6791,15,0.461212153732112,4.12017289380126
"10/21/25","Willoughby",NA,0.4545,1.6791,15,0.418173528316106,3.73569348147317
"10/16/25","Franklin",NA,3.0554,1.6893,15,4.72352586848881,41.9421583065957
"10/16/25","Franklin",NA,3.5418,1.6893,15,5.52867923011748,49.0914511642468
"10/16/25","Franklin",NA,3.6361,1.6893,15,5.68477701383784,50.4775085583186
"10/16/25","Franklin",NA,3.5639,1.6893,15,5.56526206172108,49.416285399761
"10/16/25","Franklin",NA,3.61,1.6893,15,5.64157285524715,50.0938807960145
"10/16/25","Franklin",NA,3.1858,1.6893,15,4.93938112826755,43.8588272799463
"10/16/25","Franklin",NA,3.5221,1.6893,15,5.49606919470612,48.8018930448066
"10/16/25","Franklin",NA,3.8535,1.6893,15,6.04464613558552,53.6729367393493
"10/16/25","Fryman",NA,3.2853,1.8012,15,5.10408663707111,42.5057181634836
"10/16/25","Fryman",NA,3.1576,1.8012,15,4.89270077300865,40.7453428798189
"10/16/25","Fryman",NA,2.5791,1.8012,15,3.93509135750251,32.7705809252374
"10/16/25","Fryman",NA,2.2389,1.8012,15,3.37194749725154,28.080841915819
"10/16/25","Fryman",NA,1.6888,1.8012,15,2.46134950335366,20.4975808074089
"10/16/25","Fryman",NA,2.2717,1.8012,15,3.42624237854558,28.5329978226647
"10/16/25","Fryman",NA,1.5332,1.8012,15,2.20377988355633,18.352597298104
"10/16/25","Fryman",NA,1.9259,1.8012,15,2.8538286605127,23.766061463297
"10/16/25","westridge",NA,2.8964,1.766,15,4.46032812075246,37.885006688158
"10/16/25","westridge",NA,2.1389,1.766,15,3.2064143225746,27.2345497387423
"10/16/25","westridge",NA,2.445,1.766,15,3.71311137026073,31.5383185469484
"10/16/25","westridge",NA,1.4771,1.766,15,2.11091577256256,17.9296356672924
"10/16/25","westridge",NA,1.8136,1.766,15,2.66793490535049,22.6608287543926
"10/16/25","westridge",NA,2.7276,1.766,15,4.18090812189778,35.5116771395621
"10/16/25","westridge",NA,1.8141,1.766,15,2.66876257122387,22.6678587589797
"10/16/25","westridge",NA,1.7326,1.766,15,2.53385303386216,21.5219680112868
"10/16/25","Elyria",NA,2.8888,1.7599,15,4.44774759947702,37.9090936940481
"10/16/25","Elyria",NA,1.7983,1.7599,15,2.64260832962491,22.5235098269071
"10/16/25","Elyria",NA,2.0338,1.7599,15,3.03243895598912,25.846118722562
"10/16/25","Elyria",NA,1.5043,1.7599,15,2.15594079607469,18.3755394858346
"10/16/25","Elyria",NA,1.7166,1.7599,15,2.50736772591385,21.3708255518539
"10/16/25","Elyria",NA,1.9897,1.7599,15,2.95943882595659,25.2239231714011
"10/16/25","Elyria",NA,1.5852,1.7599,15,2.28985713438834,19.5169367667624
"10/16/25","Elyria",NA,1.4918,1.7599,15,2.13524914924007,18.1991802026258
"10/16/25","Ballona",NA,2.0481,1.7643,15,3.05611019996793,25.9829127696644
"10/16/25","Ballona",NA,2.0488,1.7643,15,3.05726893219067,25.9927642594003
"10/16/25","Ballona",NA,1.9476,1.7643,15,2.8897493594176,24.568520314722
"10/16/25","Ballona",NA,2.1501,1.7643,15,3.22495403813841,27.4184155597553
"10/16/25","Ballona",NA,2.0948,1.7643,15,3.13341419254206,26.6401478706178
"10/16/25","Ballona",NA,2.1472,1.7643,15,3.22015357607278,27.377602245135
"10/16/25","Ballona",NA,2.0019,1.7643,15,2.97963387326718,25.3327144470938
"10/16/25","Ballona",NA,2.2867,1.7643,15,3.45107235474712,29.3408634139357
"10/16/25","BigRock",NA,2.5194,1.6275,15,3.83626805222038,35.3573092370542
"10/16/25","BigRock",NA,2.3849,1.6275,15,3.61362593227988,33.3053081316118
"10/16/25","BigRock",NA,2.4847,1.6275,15,3.77882804060748,34.8279082083638
"10/16/25","BigRock",NA,1.6266,1.6275,15,2.3583878687046,21.7362937207797
"10/16/25","BigRock",NA,1.993,1.6275,15,2.96490142072093,27.3262803753081
"10/16/25","BigRock",NA,2.8173,1.6275,15,4.329391379583,39.9022246966175
"10/16/25","BigRock",NA,1.619,1.6275,15,2.34580734742915,21.6203442159369
"10/16/25","BigRock",NA,2.4654,1.6275,15,3.74688013789482,34.5334574921182
"10/16/25","Arroyo",NA,0.3572,1.6851,15,0.257109749355437,2.28867499871317
"10/16/25","Arroyo",NA,0.9259,1.6851,15,1.19849691374323,10.6684788476343
"10/16/25","Arroyo",NA,0.3421,1.6851,15,0.232114239979218,2.06617625048263
"10/16/25","Arroyo",NA,0.4192,1.6851,15,0.359740317655144,3.2022460179379
"10/16/25","Arroyo",NA,1.0104,1.6851,15,1.33837244634525,11.9135877367389
"10/16/25","Arroyo",NA,0.3833,1.6851,15,0.30031390794612,2.6732589277739
"10/16/25","Arroyo",NA,1.0082,1.6851,15,1.33473071650236,11.8811707005729
"10/16/25","Arroyo",NA,0.3756,1.6851,15,0.287567853495996,2.55979930119277
"10/16/25","Hills",NA,1.993,1.8274,15,2.96490142072093,24.3370478881547
"10/16/25","Hills",NA,3.6374,1.8274,15,5.68692894510864,46.6804936941171
"10/16/25","Hills",NA,1.8493,1.8274,15,2.72703024871016,22.3845100857242
"10/16/25","Hills",NA,3.7521,1.8274,15,5.8767954964631,48.2389911606361
"10/16/25","Hills",NA,3.6001,1.8274,15,5.62518507095414,46.1736762965481
"10/16/25","Hills",NA,3.4722,1.8274,15,5.41346814054232,44.4358225392004
"10/16/25","Hills",NA,2.4206,1.8274,15,3.67272127563955,30.1471047031812
"10/16/25","Hills",NA,3.2971,1.8274,15,5.12361955168299,42.0566341661622
"10/16/25","Harmon",NA,2.8957,1.7333,15,4.45916938852973,38.5897079720452
"10/16/25","Harmon",NA,3.009,1.7333,15,4.64671847543871,40.2127601289913
"10/16/25","Harmon",NA,2.1394,1.7333,15,3.20724198844798,27.7555125060403
"10/16/25","Harmon",NA,2.7388,1.7333,15,4.1994478374616,36.3420744025408
"10/16/25","Harmon",NA,3.1811,1.7333,15,4.93160106905773,42.6781376771857
"10/16/25","Harmon",NA,2.8615,1.7333,15,4.40255704279021,38.0997840199926
"10/16/25","Harmon",NA,2.7094,1.7333,15,4.15078108410657,35.9209117069166
"10/16/25","Harmon",NA,3.0884,1.7333,15,4.7781518161322,41.3501859124116
"10/16/25","Willoughby",NA,1.0283,1.7372,15,1.36800288461243,11.8121363511319
"10/16/25","Willoughby",NA,0.9219,1.7372,15,1.19187558675615,10.2913503346433
"10/16/25","Willoughby",NA,0.9305,1.7372,15,1.20611143977837,10.4142710089083
"10/16/25","Willoughby",NA,0.4693,1.7372,15,0.442672438168294,3.82229252390307
"10/16/25","Willoughby",NA,0.6111,1.7372,15,0.677398479860205,5.84905433911068
"10/16/25","Willoughby",NA,0.9006,1.7372,15,1.15661702054996,9.98690726931238
"10/16/25","Willoughby",NA,0.5521,1.7372,15,0.579733906800806,5.00576134124574
"10/16/25","Willoughby",NA,1.0087,1.7372,15,1.33555838237574,11.5319915586209
