date,site,concentration,absorbance,weight
10/21/25,s1,5,,0
10/21/25,s2,2.5,,0
10/21/25,s3,1,,0
10/21/25,s4,0.5,,0
10/21/25,s5,0.1,,0
10/21/25,s6,0.05,,0
10/21/25,s7,0.02,,0
10/21/25,blank,0,,0
10/21/25,blank,0,,0
10/21/25,blank,0,,0
10/21/25,blank,0,,0
10/21/25,blank,0,,0
10/21/25,blank,0,,0
10/21/25,blank,0,,0
10/21/25,blank,0,,0
10/21/25,blank,0,,0
10/21/25,Franklin,,,
10/21/25,Franklin,,,
10/21/25,Franklin,,,
10/21/25,Franklin,,,
10/21/25,Franklin,,,
10/21/25,Franklin,,,
10/21/25,Franklin,,,
10/21/25,Franklin,,,
10/21/25,Fryman,,,
10/21/25,Fryman,,,
10/21/25,Fryman,,,
10/21/25,Fryman,,,
10/21/25,Fryman,,,
10/21/25,Fryman,,,
10/21/25,Fryman,,,
10/21/25,Fryman,,,
10/21/25,westridge,,,1.744
10/21/25,westridge,,,1.744
10/21/25,westridge,,,1.744
10/21/25,westridge,,,1.744
10/21/25,westridge,,,1.744
10/21/25,westridge,,,1.744
10/21/25,westridge,,,1.744
10/21/25,westridge,,,1.744
10/21/25,Elyria,,,1.7692
10/21/25,Elyria,,,1.7692
10/21/25,Elyria,,,1.7692
10/21/25,Elyria,,,1.7692
10/21/25,Elyria,,,1.7692
10/21/25,Elyria,,,1.7692
10/21/25,Elyria,,,1.7692
10/21/25,Elyria,,,1.7692
10/21/25,Ballona,,,1.6054
10/21/25,Ballona,,,1.6054
10/21/25,Ballona,,,1.6054
10/21/25,Ballona,,,1.6054
10/21/25,Ballona,,,1.6054
10/21/25,Ballona,,,1.6054
10/21/25,Ballona,,,1.6054
10/21/25,Ballona,,,1.6054
10/21/25,BigRock,,,1.725
10/21/25,BigRock,,,1.725
10/21/25,BigRock,,,1.725
10/21/25,BigRock,,,1.725
10/21/25,BigRock,,,1.725
10/21/25,BigRock,,,1.725
10/21/25,BigRock,,,1.725
10/21/25,BigRock,,,1.725
10/21/25,Arroyo,,,1.6129
10/21/25,Arroyo,,,1.6129
10/21/25,Arroyo,,,1.6129
10/21/25,Arroyo,,,1.6129
10/21/25,Arroyo,,,1.6129
10/21/25,Arroyo,,,1.6129
10/21/25,Arroyo,,,1.6129
10/21/25,Arroyo,,,1.6129
10/21/25,Hills,,,1.6307
10/21/25,Hills,,,1.6307
10/21/25,Hills,,,1.6307
10/21/25,Hills,,,1.6307
10/21/25,Hills,,,1.6307
10/21/25,Hills,,,1.6307
10/21/25,Hills,,,1.6307
10/21/25,Hills,,,1.6307
10/21/25,Harmon,,,1.7068
10/21/25,Harmon,,,1.7068
10/21/25,Harmon,,,1.7068
10/21/25,Harmon,,,1.7068
10/21/25,Harmon,,,1.7068
10/21/25,Harmon,,,1.7068
10/21/25,Harmon,,,1.7068
10/21/25,Harmon,,,1.7068
10/21/25,Willoughby,,,1.6791
10/21/25,Willoughby,,,1.6791
10/21/25,Willoughby,,,1.6791
10/21/25,Willoughby,,,1.6791
10/21/25,Willoughby,,,1.6791
10/21/25,Willoughby,,,1.6791
10/21/25,Willoughby,,,1.6791
10/21/25,Willoughby,,,1.6791
10/16/25,s1,5,1.004,0
10/16/25,s2,2.5,0.6209,0
10/16/25,s3,1,0.3849,0
10/16/25,s4,0.5,0.183,0
10/16/25,s5,0.1,0.073,0
10/16/25,s6,0.05,0.0629,0
10/16/25,s7,0.02,0.0511,0
10/16/25,blank,0,0.0443,0
10/16/25,blank,0,0.0472,0
10/16/25,blank,0,0.0487,0
10/16/25,blank,0,0.0449,0
10/16/25,blank,0,0.0478,0
10/16/25,blank,0,0.0454,0
10/16/25,blank,0,0.0468,0
10/16/25,blank,0,0.0448,0
10/16/25,blank,0,0.0476,0
10/16/25,Franklin,,1.7304,
10/16/25,Franklin,,1.937,
10/16/25,Franklin,,1.9548,
10/16/25,Franklin,,1.9279,
10/16/25,Franklin,,1.9834,
10/16/25,Franklin,,1.8594,
10/16/25,Franklin,,2.0086,
10/16/25,Franklin,,1.9469,
10/16/25,Fryman,,1.9124,
10/16/25,Fryman,,1.8647,
10/16/25,Fryman,,2.0325,
10/16/25,Fryman,,1.9471,
10/16/25,Fryman,,1.8996,
10/16/25,Fryman,,2.0137,
10/16/25,Fryman,,1.9342,
10/16/25,Fryman,,1.9588,
10/16/25,westridge,,2.0479,
10/16/25,westridge,,2.0153,
10/16/25,westridge,,1.9021,
10/16/25,westridge,,1.9918,
10/16/25,westridge,,2.0442,
10/16/25,westridge,,1.9069,
10/16/25,westridge,,1.9897,
10/16/25,westridge,,1.9215,
10/16/25,Elyria,,1.9785,
10/16/25,Elyria,,1.9378,
10/16/25,Elyria,,1.9867,
10/16/25,Elyria,,2.0789,
10/16/25,Elyria,,1.8705,
10/16/25,Elyria,,1.9483,
10/16/25,Elyria,,2.0236,
10/16/25,Elyria,,2.0051,
10/16/25,Ballona,,1.8932,
10/16/25,Ballona,,2.0614,
10/16/25,Ballona,,1.9583,
10/16/25,Ballona,,1.9254,
10/16/25,Ballona,,1.9848,
10/16/25,Ballona,,1.9625,
10/16/25,Ballona,,1.8771,
10/16/25,Ballona,,1.9499,
10/16/25,BigRock,,1.6715,1.6275
10/16/25,BigRock,,1.7332,1.6275
10/16/25,BigRock,,1.4126,1.6275
10/16/25,BigRock,,1.6283,1.6275
10/16/25,BigRock,,1.6894,1.6275
10/16/25,BigRock,,1.9745,1.6275
10/16/25,BigRock,,1.8617,1.6275
10/16/25,BigRock,,1.7931,1.6275
10/16/25,Arroyo,,0.8561,1.6851
10/16/25,Arroyo,,0.6143,1.6851
10/16/25,Arroyo,,0.8894,1.6851
10/16/25,Arroyo,,0.5638,1.6851
10/16/25,Arroyo,,0.8479,1.6851
10/16/25,Arroyo,,1.2361,1.6851
10/16/25,Arroyo,,0.6517,1.6851
10/16/25,Arroyo,,0.7095,1.6851
10/16/25,Hills,,1.3216,1.8274
10/16/25,Hills,,1.1942,1.8274
10/16/25,Hills,,1.2196,1.8274
10/16/25,Hills,,0.9357,1.8274
10/16/25,Hills,,1.2178,1.8274
10/16/25,Hills,,0.8235,1.8274
10/16/25,Hills,,1.1038,1.8274
10/16/25,Hills,,0.6842,1.8274
10/16/25,Harmon,,0.5938,1.7333
10/16/25,Harmon,,1.1959,1.7333
10/16/25,Harmon,,1.0253,1.7333
10/16/25,Harmon,,1.2769,1.7333
10/16/25,Harmon,,1.1614,1.7333
10/16/25,Harmon,,1.3327,1.7333
10/16/25,Harmon,,1.5245,1.7333
10/16/25,Harmon,,1.8947,1.7333
10/16/25,Willoughby,,1.1875,1.7372
10/16/25,Willoughby,,1.2479,1.7372
10/16/25,Willoughby,,0.4628,1.7372
10/16/25,Willoughby,,0.4939,1.7372
10/16/25,Willoughby,,0.6061,1.7372
10/16/25,Willoughby,,0.4823,1.7372
10/16/25,Willoughby,,0.6574,1.7372
10/16/25,Willoughby,,0.5475,1.7372