date,name,concentration,absorbance,weight
10/21/25,s1,5,3.1363,0
10/21/25,s2,2.5,2.032,0
10/21/25,s3,1.25,1.2093,0
10/21/25,s4,0.625,0.7574,0
10/21/25,s5,0.3125,0.4778,0
10/21/25,s6,0.1563,0.3153,0
10/21/25,s7,0.0781,0.256,0
10/21/25,s8,0.0391,0.348,0
10/21/25,s9,0.0195,0.2008,0
10/21/25,blank,,0.1886,0
10/21/25,blank,,0.1676,0
10/21/25,blank,,0.1709,0
10/21/25,blank,,0.2017,0
10/21/25,blank,,0.1704,0
10/21/25,blank,,0.1727,0
10/21/25,blank,,0.1776,0
10/21/25,Franklin,,0.0512,
10/21/25,Franklin,,0.0461,
10/21/25,Franklin,,0.0485,
10/21/25,Franklin,,0.0463,
10/21/25,Franklin,,0.0522,
10/21/25,Franklin,,0.0461,
10/21/25,Franklin,,0.0461,
10/21/25,Franklin,,0.056,
10/21/25,Fryman,,0.1042,
10/21/25,Fryman,,0.0505,
10/21/25,Fryman,,0.0709,
10/21/25,Fryman,,0.0554,
10/21/25,Fryman,,0.0568,
10/21/25,Fryman,,0.0529,
10/21/25,Fryman,,0.0597,
10/21/25,Fryman,,0.0656,
10/21/25,westridge,,2.8089,1.744
10/21/25,westridge,,2.318,1.744
10/21/25,westridge,,2.7225,1.744
10/21/25,westridge,,2.4522,1.744
10/21/25,westridge,,2.8961,1.744
10/21/25,westridge,,1.9731,1.744
10/21/25,westridge,,2.4546,1.744
10/21/25,westridge,,2.8971,1.744
10/21/25,Elyria,,3.7094,1.7692
10/21/25,Elyria,,3.2179,1.7692
10/21/25,Elyria,,3.4166,1.7692
10/21/25,Elyria,,3.59,1.7692
10/21/25,Elyria,,3.1333,1.7692
10/21/25,Elyria,,2.3381,1.7692
10/21/25,Elyria,,1.8807,1.7692
10/21/25,Elyria,,1.3008,1.7692
10/21/25,Ballona,,1.9854,1.6054
10/21/25,Ballona,,1.7574,1.6054
10/21/25,Ballona,,1.7002,1.6054
10/21/25,Ballona,,1.1772,1.6054
10/21/25,Ballona,,1.538,1.6054
10/21/25,Ballona,,1.2022,1.6054
10/21/25,Ballona,,2.1406,1.6054
10/21/25,Ballona,,0.9302,1.6054
10/21/25,BigRock,,2.6223,1.725
10/21/25,BigRock,,2.4977,1.725
10/21/25,BigRock,,2.1252,1.725
10/21/25,BigRock,,2.1899,1.725
10/21/25,BigRock,,1.3937,1.725
10/21/25,BigRock,,2.5139,1.725
10/21/25,BigRock,,2.9721,1.725
10/21/25,BigRock,,3.2864,1.725
10/21/25,Arroyo,,1.0019,1.6129
10/21/25,Arroyo,,1.0061,1.6129
10/21/25,Arroyo,,0.4831,1.6129
10/21/25,Arroyo,,0.6859,1.6129
10/21/25,Arroyo,,0.4659,1.6129
10/21/25,Arroyo,,0.3481,1.6129
10/21/25,Arroyo,,0.4516,1.6129
10/21/25,Arroyo,,0.4008,1.6129
10/21/25,Hills,,3.7477,1.6307
10/21/25,Hills,,3.5636,1.6307
10/21/25,Hills,,3.4582,1.6307
10/21/25,Hills,,3.4993,1.6307
10/21/25,Hills,,2.8784,1.6307
10/21/25,Hills,,1.9601,1.6307
10/21/25,Hills,,1.7854,1.6307
10/21/25,Hills,,1.5537,1.6307
10/21/25,Harmon,,2.3084,1.7068
10/21/25,Harmon,,2.5408,1.7068
10/21/25,Harmon,,2.6285,1.7068
10/21/25,Harmon,,3.227,1.7068
10/21/25,Harmon,,2.8423,1.7068
10/21/25,Harmon,,2.6823,1.7068
10/21/25,Harmon,,2.7091,1.7068
10/21/25,Harmon,,2.6846,1.7068
10/21/25,Willoughby,,0.4478,1.6791
10/21/25,Willoughby,,0.5247,1.6791
10/21/25,Willoughby,,0.832,1.6791
10/21/25,Willoughby,,0.444,1.6791
10/21/25,Willoughby,,0.5139,1.6791
10/21/25,Willoughby,,0.4446,1.6791
10/21/25,Willoughby,,0.4805,1.6791
10/21/25,Willoughby,,0.4545,1.6791
10/16/25,s1,5,2.97,0
10/16/25,s2,2.5,1.8469,0
10/16/25,s3,1.25,1.0744,0
10/16/25,s4,0.625,0.6529,0
10/16/25,s5,0.3125,0.0985,0
10/16/25,s6,0.1563,0.2773,0
10/16/25,s7,0.0781,0.223,0
10/16/25,s8,0.0391,0.1968,0
10/16/25,s9,0.0195,0.1687,0
10/16/25,blank,,0.1655,0
10/16/25,blank,,0.0975,0
10/16/25,blank,,0.149,0
10/16/25,blank,,0.1642,0
10/16/25,blank,,0.1503,0
10/16/25,blank,,0.1522,0
10/16/25,blank,,0.1491,0
10/16/25,Franklin,,3.0554,
10/16/25,Franklin,,3.5418,
10/16/25,Franklin,,3.6361,
10/16/25,Franklin,,3.5639,
10/16/25,Franklin,,3.61,
10/16/25,Franklin,,3.1858,
10/16/25,Franklin,,3.5221,
10/16/25,Franklin,,3.8535,
10/16/25,Fryman,,3.2853,
10/16/25,Fryman,,3.1576,
10/16/25,Fryman,,2.5791,
10/16/25,Fryman,,2.2389,
10/16/25,Fryman,,1.6888,
10/16/25,Fryman,,2.2717,
10/16/25,Fryman,,1.5332,
10/16/25,Fryman,,1.9259,
10/16/25,westridge,,2.8964,
10/16/25,westridge,,2.1389,
10/16/25,westridge,,2.445,
10/16/25,westridge,,1.4771,
10/16/25,westridge,,1.8136,
10/16/25,westridge,,2.7276,
10/16/25,westridge,,1.8141,
10/16/25,westridge,,1.7326,
10/16/25,Elyria,,2.8888,
10/16/25,Elyria,,1.7983,
10/16/25,Elyria,,2.0338,
10/16/25,Elyria,,1.5043,
10/16/25,Elyria,,1.7166,
10/16/25,Elyria,,1.9897,
10/16/25,Elyria,,1.5852,
10/16/25,Elyria,,1.4918,
10/16/25,Ballona,,2.0481,
10/16/25,Ballona,,2.0488,
10/16/25,Ballona,,1.9476,
10/16/25,Ballona,,2.1501,
10/16/25,Ballona,,2.0948,
10/16/25,Ballona,,2.1472,
10/16/25,Ballona,,2.0019,
10/16/25,Ballona,,2.2867,
10/16/25,BigRock,,2.5194,1.6275
10/16/25,BigRock,,2.3849,1.6275
10/16/25,BigRock,,2.4847,1.6275
10/16/25,BigRock,,1.6266,1.6275
10/16/25,BigRock,,1.993,1.6275
10/16/25,BigRock,,2.8173,1.6275
10/16/25,BigRock,,1.619,1.6275
10/16/25,BigRock,,2.4654,1.6275
10/16/25,Arroyo,,0.3572,1.6851
10/16/25,Arroyo,,0.9259,1.6851
10/16/25,Arroyo,,0.3421,1.6851
10/16/25,Arroyo,,0.4192,1.6851
10/16/25,Arroyo,,1.0104,1.6851
10/16/25,Arroyo,,0.3833,1.6851
10/16/25,Arroyo,,1.0082,1.6851
10/16/25,Arroyo,,0.3756,1.6851
10/16/25,Hills,,1.993,1.8274
10/16/25,Hills,,3.6374,1.8274
10/16/25,Hills,,1.8493,1.8274
10/16/25,Hills,,3.7521,1.8274
10/16/25,Hills,,3.6001,1.8274
10/16/25,Hills,,3.4722,1.8274
10/16/25,Hills,,2.4206,1.8274
10/16/25,Hills,,3.2971,1.8274
10/16/25,Harmon,,2.8957,1.7333
10/16/25,Harmon,,3.009,1.7333
10/16/25,Harmon,,2.1394,1.7333
10/16/25,Harmon,,2.7388,1.7333
10/16/25,Harmon,,3.1811,1.7333
10/16/25,Harmon,,2.8615,1.7333
10/16/25,Harmon,,2.7094,1.7333
10/16/25,Harmon,,3.0884,1.7333
10/16/25,Willoughby,,1.0283,1.7372
10/16/25,Willoughby,,0.9219,1.7372
10/16/25,Willoughby,,0.9305,1.7372
10/16/25,Willoughby,,0.4693,1.7372
10/16/25,Willoughby,,0.6111,1.7372
10/16/25,Willoughby,,0.9006,1.7372
10/16/25,Willoughby,,0.5521,1.7372
10/16/25,Willoughby,,1.0087,1.7372